,SVM,RF
accuracy,0.8260869565217391,0.9130434782608695
precision,0.7857142857142857,1.0
recall,0.9166666666666666,0.8333333333333334
f1,0.8461538461538461,0.9090909090909091
roc_auc,0.9242424242424243,0.9696969696969697
